accident art crime economics education entertainment environment international opinion politics science_tech sports predicted target
0.02 0.08 0.01 0.07 0.06 0.11 0.25 0.16 0.01 0.01 0.08 0.14 6 7
0.16 0.00 0.00 0.00 0.00 0.00 0.81 0.00 0.00 0.00 0.01 0.00 6 0
0.00 0.89 0.00 0.00 0.00 0.07 0.00 0.00 0.02 0.00 0.00 0.00 1 5
0.01 0.02 0.18 0.01 0.01 0.03 0.24 0.01 0.31 0.16 0.00 0.01 8 2
0.02 0.08 0.01 0.07 0.06 0.11 0.25 0.16 0.01 0.01 0.08 0.14 6 7
0.01 0.13 0.01 0.02 0.09 0.53 0.02 0.09 0.03 0.01 0.06 0.02 5 1
0.01 0.01 0.00 0.01 0.00 0.00 0.05 0.00 0.01 0.00 0.90 0.01 10 6
0.83 0.00 0.02 0.00 0.00 0.00 0.10 0.00 0.04 0.00 0.00 0.00 0 6
0.59 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.40 0.00 0.00 0.00 0 8
0.02 0.02 0.92 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.01 2 10
0.00 0.13 0.00 0.01 0.00 0.85 0.00 0.00 0.00 0.00 0.00 0.01 5 1
0.00 0.20 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.78 0.00 0.00 9 1
0.01 0.01 0.00 0.00 0.00 0.00 0.95 0.00 0.02 0.00 0.00 0.00 6 8
0.05 0.10 0.02 0.00 0.01 0.01 0.49 0.00 0.00 0.00 0.26 0.04 6 2
0.00 0.04 0.00 0.01 0.13 0.01 0.00 0.01 0.78 0.01 0.00 0.00 8 4
0.81 0.16 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.01 0.01 0 1
0.00 0.00 0.53 0.01 0.01 0.01 0.01 0.01 0.00 0.39 0.00 0.02 2 9
0.00 0.01 0.00 0.11 0.01 0.11 0.01 0.09 0.57 0.06 0.02 0.01 8 9
0.00 0.09 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.90 0.00 0.00 9 1
0.00 0.00 0.00 0.01 0.11 0.00 0.01 0.00 0.87 0.00 0.00 0.00 8 4
0.00 0.00 0.22 0.00 0.00 0.00 0.00 0.00 0.00 0.76 0.00 0.00 9 2
0.00 0.56 0.00 0.00 0.09 0.00 0.00 0.00 0.34 0.00 0.00 0.00 1 4
0.96 0.00 0.00 0.00 0.00 0.00 0.00 0.04 0.00 0.00 0.00 0.00 0 10
0.01 0.04 0.02 0.08 0.00 0.07 0.14 0.01 0.01 0.05 0.57 0.01 10 3
0.00 0.62 0.00 0.01 0.01 0.05 0.02 0.00 0.02 0.04 0.13 0.09 1 10
0.09 0.12 0.00 0.02 0.01 0.01 0.30 0.04 0.01 0.00 0.17 0.23 6 10
0.00 0.97 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.00 0.00 1 6
0.00 0.00 0.00 0.02 0.80 0.00 0.02 0.00 0.15 0.00 0.00 0.00 4 8
0.01 0.43 0.02 0.00 0.00 0.11 0.22 0.01 0.16 0.02 0.01 0.01 1 6
0.02 0.03 0.77 0.00 0.00 0.00 0.07 0.00 0.02 0.04 0.05 0.01 2 10
0.00 0.00 0.00 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 5 7
0.49 0.07 0.41 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0 2
0.08 0.01 0.19 0.05 0.00 0.00 0.50 0.01 0.08 0.03 0.04 0.01 6 3
0.00 0.01 0.00 0.00 0.00 0.07 0.00 0.92 0.00 0.00 0.00 0.00 7 5
0.01 0.01 0.01 0.56 0.02 0.01 0.09 0.03 0.23 0.00 0.03 0.01 3 8
0.02 0.01 0.00 0.00 0.00 0.00 0.89 0.00 0.00 0.00 0.00 0.08 6 11
0.01 0.44 0.00 0.00 0.01 0.12 0.01 0.01 0.03 0.00 0.01 0.36 1 11
0.00 0.00 0.00 0.98 0.00 0.00 0.01 0.00 0.00 0.00 0.01 0.00 3 7
0.00 0.00 0.08 0.49 0.01 0.00 0.01 0.00 0.02 0.38 0.00 0.01 3 2
0.00 0.04 0.00 0.00 0.00 0.61 0.00 0.01 0.00 0.00 0.34 0.01 5 10
0.01 0.01 0.03 0.48 0.13 0.01 0.06 0.01 0.01 0.08 0.13 0.02 3 10
0.00 0.01 0.00 0.94 0.00 0.00 0.03 0.00 0.00 0.01 0.00 0.01 3 9
0.03 0.02 0.04 0.40 0.08 0.02 0.10 0.17 0.04 0.02 0.04 0.04 3 4
0.04 0.01 0.27 0.07 0.01 0.00 0.52 0.00 0.00 0.02 0.05 0.01 6 2
0.00 0.20 0.00 0.01 0.01 0.71 0.01 0.01 0.05 0.00 0.00 0.00 5 8
0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.98 0.00 10 3
0.00 0.00 0.00 0.34 0.00 0.00 0.04 0.48 0.07 0.00 0.05 0.00 7 3
0.00 0.00 0.01 0.00 0.26 0.00 0.01 0.00 0.17 0.54 0.00 0.00 9 8
0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.02 0.00 0.00 0.95 0.00 10 7
0.05 0.35 0.27 0.01 0.00 0.00 0.15 0.00 0.04 0.06 0.03 0.02 1 6
0.00 0.51 0.00 0.01 0.00 0.46 0.00 0.00 0.00 0.00 0.00 0.00 1 5
0.17 0.01 0.24 0.10 0.01 0.01 0.33 0.01 0.01 0.01 0.07 0.03 2 3
0.00 0.37 0.00 0.00 0.00 0.62 0.00 0.00 0.00 0.00 0.00 0.00 5 1
0.10 0.00 0.89 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 2 9
0.02 0.24 0.01 0.01 0.35 0.09 0.10 0.03 0.04 0.00 0.02 0.09 1 4
0.00 0.12 0.00 0.00 0.00 0.03 0.00 0.00 0.84 0.00 0.00 0.00 8 1
0.00 0.01 0.01 0.00 0.00 0.00 0.02 0.18 0.73 0.03 0.00 0.00 8 2
0.16 0.02 0.28 0.01 0.01 0.01 0.04 0.02 0.02 0.01 0.39 0.03 0 10
0.01 0.39 0.02 0.04 0.10 0.25 0.03 0.04 0.03 0.01 0.09 0.01 1 5
0.02 0.01 0.02 0.03 0.00 0.00 0.90 0.00 0.01 0.00 0.01 0.00 6 10
0.00 0.01 0.01 0.25 0.18 0.12 0.03 0.22 0.05 0.02 0.08 0.02 3 4
0.00 0.00 0.00 0.00 0.00 0.08 0.00 0.91 0.00 0.01 0.00 0.00 7 5
0.00 0.00 0.00 0.96 0.00 0.00 0.01 0.00 0.00 0.01 0.01 0.00 3 7
0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 2 9
0.02 0.00 0.08 0.00 0.00 0.00 0.06 0.00 0.00 0.82 0.00 0.00 9 2
0.95 0.02 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.01 0 11
1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 8
0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1 6
0.40 0.00 0.59 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 2 0
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 10 3
0.00 0.01 0.00 0.00 0.01 0.00 0.02 0.03 0.88 0.00 0.05 0.00 8 10
0.01 0.02 0.02 0.18 0.08 0.18 0.05 0.04 0.21 0.13 0.08 0.01 5 9
0.39 0.01 0.22 0.02 0.01 0.01 0.11 0.01 0.07 0.14 0.01 0.01 0 9
0.02 0.56 0.00 0.00 0.03 0.00 0.03 0.02 0.31 0.00 0.01 0.00 1 6
0.00 0.00 0.00 0.05 0.00 0.00 0.02 0.00 0.03 0.00 0.89 0.00 10 3
0.00 0.08 0.00 0.03 0.01 0.05 0.01 0.18 0.01 0.00 0.60 0.03 10 1
0.79 0.00 0.19 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0 2
0.39 0.00 0.60 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2 0
0.04 0.07 0.01 0.05 0.02 0.01 0.68 0.01 0.03 0.00 0.08 0.01 6 0
0.00 0.00 0.00 0.93 0.00 0.00 0.00 0.00 0.07 0.00 0.00 0.00 3 8
0.04 0.14 0.02 0.01 0.18 0.04 0.33 0.07 0.03 0.02 0.02 0.10 6 1
0.00 0.18 0.00 0.01 0.62 0.11 0.01 0.01 0.01 0.00 0.01 0.04 4 1
0.00 0.49 0.00 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.00 5 1
0.02 0.19 0.00 0.00 0.01 0.47 0.08 0.01 0.01 0.00 0.03 0.16 5 11
0.00 0.00 0.04 0.00 0.00 0.00 0.94 0.00 0.01 0.00 0.00 0.00 6 2
0.00 0.00 0.00 0.84 0.00 0.00 0.03 0.00 0.00 0.00 0.12 0.00 3 11
0.31 0.00 0.10 0.00 0.00 0.00 0.00 0.57 0.00 0.00 0.00 0.00 7 0
0.01 0.03 0.06 0.54 0.03 0.19 0.02 0.02 0.04 0.02 0.03 0.01 3 5
0.03 0.00 0.01 0.42 0.00 0.00 0.45 0.01 0.00 0.06 0.01 0.00 3 6
1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 2
0.96 0.00 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 2
0.00 0.48 0.00 0.00 0.34 0.13 0.01 0.01 0.02 0.00 0.01 0.00 1 4
