accident art crime economics education entertainment environment international opinion politics science_tech sports predicted target
0.00 0.00 0.00 0.00 0.12 0.00 0.78 0.02 0.05 0.01 0.00 0.00 6 4
0.00 0.01 0.03 0.00 0.36 0.04 0.01 0.00 0.51 0.03 0.00 0.01 8 4
0.00 0.00 0.01 0.00 0.01 0.00 0.00 0.00 0.01 0.96 0.00 0.00 9 2
0.02 0.01 0.03 0.08 0.08 0.03 0.32 0.16 0.14 0.11 0.01 0.02 6 9
0.01 0.01 0.01 0.03 0.38 0.07 0.02 0.01 0.05 0.12 0.30 0.01 4 10
0.01 0.01 0.02 0.13 0.03 0.04 0.19 0.36 0.08 0.09 0.01 0.04 6 7
0.36 0.00 0.43 0.00 0.02 0.02 0.11 0.00 0.00 0.02 0.02 0.02 2 6
0.00 0.00 0.01 0.00 0.64 0.00 0.02 0.00 0.01 0.30 0.00 0.01 4 6
0.00 0.00 0.00 0.00 0.03 0.00 0.00 0.00 0.64 0.33 0.00 0.00 8 9
0.00 0.03 0.03 0.00 0.79 0.01 0.02 0.00 0.08 0.02 0.01 0.01 4 2
1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 11
0.00 0.00 0.01 0.51 0.02 0.01 0.11 0.02 0.28 0.03 0.00 0.00 3 8
0.01 0.00 0.01 0.03 0.04 0.02 0.03 0.76 0.01 0.06 0.00 0.02 7 4
0.00 0.00 0.00 0.00 0.05 0.00 0.03 0.00 0.01 0.91 0.00 0.00 9 5
0.00 0.52 0.01 0.00 0.07 0.24 0.02 0.01 0.03 0.02 0.01 0.07 1 5
0.00 0.27 0.01 0.00 0.14 0.42 0.01 0.00 0.03 0.01 0.01 0.10 5 8
0.01 0.02 0.00 0.01 0.08 0.01 0.43 0.02 0.37 0.04 0.01 0.00 6 8
0.00 0.85 0.00 0.00 0.00 0.13 0.00 0.00 0.00 0.00 0.00 0.01 1 5
0.00 0.00 0.08 0.00 0.02 0.00 0.01 0.00 0.01 0.88 0.00 0.00 9 5
0.11 0.00 0.05 0.00 0.04 0.01 0.05 0.00 0.01 0.71 0.00 0.02 9 0
0.20 0.02 0.05 0.00 0.22 0.32 0.03 0.01 0.02 0.03 0.02 0.08 0 5
0.03 0.02 0.51 0.00 0.03 0.03 0.01 0.03 0.23 0.08 0.03 0.01 2 8
0.03 0.00 0.02 0.07 0.25 0.04 0.25 0.04 0.04 0.21 0.01 0.03 4 6
0.12 0.01 0.02 0.05 0.19 0.02 0.10 0.19 0.08 0.20 0.02 0.01 7 6
0.01 0.01 0.01 0.00 0.16 0.11 0.02 0.01 0.01 0.01 0.00 0.63 11 5
0.00 0.07 0.00 0.00 0.10 0.14 0.00 0.01 0.02 0.00 0.63 0.03 10 1
0.00 0.82 0.00 0.00 0.00 0.17 0.00 0.00 0.00 0.00 0.00 0.00 1 5
0.01 0.01 0.01 0.00 0.10 0.41 0.09 0.01 0.17 0.15 0.01 0.03 5 8
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.99 0.00 10 4
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 11 4
0.00 0.26 0.01 0.00 0.01 0.57 0.01 0.00 0.01 0.00 0.00 0.12 5 11
0.00 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3 8
0.00 0.06 0.07 0.00 0.35 0.01 0.01 0.00 0.05 0.44 0.00 0.01 9 4
0.00 0.03 0.01 0.07 0.11 0.03 0.06 0.03 0.56 0.06 0.01 0.03 8 3
0.00 0.07 0.00 0.00 0.00 0.92 0.00 0.00 0.00 0.00 0.00 0.00 5 1
0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.99 0.00 0.00 9 4
0.00 0.04 0.00 0.00 0.01 0.81 0.00 0.00 0.09 0.00 0.00 0.04 5 8
1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 2
0.03 0.32 0.01 0.01 0.02 0.22 0.05 0.01 0.05 0.02 0.05 0.22 1 5
0.00 0.00 0.02 0.02 0.02 0.01 0.84 0.01 0.01 0.08 0.00 0.00 6 9
0.03 0.01 0.70 0.00 0.07 0.01 0.01 0.00 0.11 0.05 0.00 0.01 2 8
0.00 0.00 0.04 0.00 0.29 0.01 0.00 0.00 0.02 0.63 0.00 0.01 9 2
0.01 0.01 0.02 0.23 0.03 0.01 0.52 0.09 0.01 0.05 0.01 0.02 6 3
0.02 0.21 0.03 0.03 0.09 0.10 0.07 0.11 0.15 0.05 0.04 0.11 1 8
