accident art crime economics education entertainment environment international opinion politics science_tech sports predicted target
0.00 0.00 0.00 0.07 0.14 0.01 0.04 0.06 0.04 0.62 0.01 0.01 9 9
0.00 0.00 0.00 0.00 0.12 0.00 0.78 0.02 0.05 0.01 0.00 0.00 6 4
0.00 0.01 0.03 0.00 0.36 0.04 0.01 0.00 0.51 0.03 0.00 0.01 8 4
0.00 0.00 0.00 0.00 0.02 0.00 0.00 0.38 0.58 0.01 0.00 0.01 8 8
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.99 0.00 0.00 9 9
0.00 0.00 0.03 0.00 0.07 0.01 0.01 0.00 0.00 0.86 0.00 0.01 9 9
0.00 0.00 0.00 0.00 0.03 0.01 0.00 0.01 0.00 0.00 0.00 0.93 11 11
0.00 0.00 0.02 0.00 0.02 0.00 0.02 0.00 0.01 0.92 0.00 0.00 9 9
0.00 0.00 0.12 0.00 0.02 0.00 0.01 0.00 0.03 0.81 0.00 0.00 9 9
0.00 0.01 0.01 0.01 0.01 0.01 0.01 0.02 0.90 0.03 0.00 0.00 8 8
0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.00 0.01 0.97 0.00 0.00 9 9
0.01 0.01 0.08 0.01 0.01 0.23 0.03 0.02 0.31 0.01 0.28 0.01 8 8
0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.98 0.00 0.00 9 9
0.00 0.00 0.00 0.00 0.07 0.00 0.04 0.00 0.09 0.78 0.00 0.00 9 9
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.99 0.00 0.00 9 9
0.00 0.00 0.01 0.00 0.01 0.00 0.00 0.00 0.01 0.96 0.00 0.00 9 2
0.00 0.28 0.00 0.00 0.00 0.70 0.00 0.00 0.00 0.00 0.00 0.01 5 5
0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2 2
0.00 0.01 0.10 0.00 0.02 0.10 0.01 0.00 0.01 0.73 0.01 0.00 9 9
0.02 0.01 0.03 0.08 0.08 0.03 0.32 0.16 0.14 0.11 0.01 0.02 6 9
0.10 0.00 0.89 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2 2
0.00 0.28 0.02 0.00 0.02 0.60 0.00 0.00 0.00 0.00 0.02 0.04 5 5
0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.01 0.01 0.00 0.95 0.00 10 10
0.02 0.00 0.04 0.03 0.05 0.02 0.70 0.03 0.02 0.04 0.01 0.03 6 6
0.01 0.01 0.01 0.03 0.38 0.07 0.02 0.01 0.05 0.12 0.30 0.01 4 10
0.01 0.01 0.02 0.13 0.03 0.04 0.19 0.36 0.08 0.09 0.01 0.04 6 7
0.00 0.02 0.00 0.00 0.00 0.98 0.00 0.00 0.00 0.00 0.00 0.00 5 5
0.00 0.01 0.84 0.03 0.01 0.02 0.02 0.01 0.02 0.02 0.01 0.01 2 2
0.36 0.00 0.10 0.00 0.51 0.00 0.00 0.00 0.00 0.00 0.00 0.01 4 4
0.36 0.00 0.43 0.00 0.02 0.02 0.11 0.00 0.00 0.02 0.02 0.02 2 6
0.00 0.00 0.01 0.00 0.64 0.00 0.02 0.00 0.01 0.30 0.00 0.01 4 6
0.00 0.01 0.00 0.01 0.80 0.02 0.04 0.04 0.06 0.01 0.01 0.00 4 4
0.00 0.03 0.01 0.00 0.04 0.02 0.01 0.01 0.01 0.08 0.00 0.78 11 11
0.00 0.00 0.01 0.00 0.01 0.00 0.00 0.96 0.00 0.01 0.00 0.00 7 7
0.01 0.00 0.01 0.00 0.73 0.03 0.08 0.00 0.01 0.13 0.00 0.01 4 4
0.00 0.00 0.00 0.00 0.05 0.00 0.03 0.00 0.04 0.86 0.00 0.02 9 9
0.00 0.00 0.07 0.01 0.01 0.01 0.05 0.05 0.04 0.74 0.01 0.01 9 9
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 9 9
0.00 0.11 0.00 0.00 0.04 0.77 0.01 0.00 0.01 0.00 0.01 0.04 5 5
0.01 0.44 0.02 0.01 0.04 0.05 0.32 0.01 0.04 0.01 0.03 0.02 6 6
0.00 0.01 0.02 0.11 0.09 0.52 0.06 0.01 0.01 0.07 0.01 0.08 5 5
0.01 0.01 0.01 0.00 0.50 0.01 0.27 0.01 0.05 0.11 0.00 0.01 4 4
0.00 0.00 0.00 0.00 0.03 0.00 0.00 0.00 0.64 0.33 0.00 0.00 8 9
0.00 0.00 0.00 0.01 0.00 0.01 0.00 0.91 0.01 0.01 0.01 0.03 7 7
0.00 0.01 0.01 0.00 0.01 0.01 0.00 0.01 0.69 0.26 0.00 0.00 8 8
0.00 0.03 0.03 0.00 0.79 0.01 0.02 0.00 0.08 0.02 0.01 0.01 4 2
0.02 0.01 0.42 0.00 0.02 0.46 0.01 0.01 0.01 0.01 0.00 0.05 5 5
0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.01 0.97 0.00 0.00 9 9
0.00 0.68 0.01 0.00 0.01 0.24 0.01 0.00 0.02 0.00 0.02 0.00 1 1
0.00 0.00 0.02 0.01 0.01 0.00 0.05 0.01 0.10 0.79 0.00 0.00 9 9
0.00 0.00 0.00 0.90 0.00 0.00 0.00 0.01 0.01 0.08 0.00 0.00 3 3
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.99 0.00 10 10
0.00 0.00 0.01 0.00 0.00 0.00 0.01 0.94 0.01 0.02 0.00 0.01 7 7
0.00 0.08 0.01 0.00 0.09 0.06 0.02 0.02 0.01 0.01 0.00 0.69 11 11
1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 11
0.00 0.00 0.01 0.51 0.02 0.01 0.11 0.02 0.28 0.03 0.00 0.00 3 8
0.01 0.00 0.01 0.03 0.04 0.02 0.03 0.76 0.01 0.06 0.00 0.02 7 4
0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.02 0.96 0.00 0.00 9 9
0.00 0.00 0.00 0.00 0.10 0.00 0.01 0.00 0.73 0.14 0.00 0.01 8 8
0.00 0.00 0.00 0.00 0.05 0.00 0.03 0.00 0.01 0.91 0.00 0.00 9 5
0.00 0.01 0.03 0.22 0.02 0.00 0.06 0.02 0.58 0.03 0.01 0.01 8 8
0.00 0.01 0.02 0.00 0.94 0.01 0.00 0.00 0.01 0.00 0.00 0.01 4 4
0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.98 0.00 0.00 0.00 0.00 7 7
0.00 0.52 0.01 0.00 0.07 0.24 0.02 0.01 0.03 0.02 0.01 0.07 1 5
0.00 0.00 0.00 0.00 0.96 0.00 0.01 0.00 0.01 0.01 0.00 0.01 4 4
0.01 0.00 0.01 0.00 0.17 0.03 0.02 0.00 0.01 0.72 0.00 0.01 9 9
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.97 0.01 0.00 0.00 8 8
0.01 0.00 0.03 0.00 0.12 0.02 0.01 0.00 0.01 0.79 0.00 0.00 9 9
0.03 0.00 0.92 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.01 2 2
0.00 0.00 0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.96 11 11
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 11 11
0.00 0.27 0.01 0.00 0.14 0.42 0.01 0.00 0.03 0.01 0.01 0.10 5 8
0.00 0.01 0.00 0.00 0.01 0.01 0.01 0.00 0.02 0.79 0.00 0.15 9 9
0.00 0.03 0.00 0.00 0.01 0.87 0.01 0.01 0.01 0.01 0.03 0.02 5 5
0.01 0.02 0.01 0.00 0.74 0.01 0.10 0.00 0.01 0.03 0.01 0.08 4 4
0.00 0.02 0.00 0.00 0.06 0.04 0.00 0.00 0.07 0.79 0.00 0.01 9 9
0.01 0.02 0.00 0.01 0.08 0.01 0.43 0.02 0.37 0.04 0.01 0.00 6 8
0.03 0.00 0.12 0.01 0.03 0.01 0.08 0.01 0.01 0.70 0.00 0.00 9 9
0.00 0.00 0.01 0.00 0.01 0.00 0.00 0.00 0.01 0.97 0.00 0.00 9 9
1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 0
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.99 11 11
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.99 0.00 0.00 9 9
